Label (Grouping),Population 18 to 24 years,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,Population 25 years and over,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,Percent high school graduate or higher,Percent bachelor's degree or higher,Population 25 to 34 years,High school graduate or higher,Bachelor's degree or higher,Population 35 to 44 years,High school graduate or higher,Bachelor's degree or higher,Population 45 to 64 years,High school graduate or higher,Bachelor's degree or higher,Population 65 years and over,High school graduate or higher,Bachelor's degree or higher
"Census Tract 5001, Santa Clara County, California!!Total!!Estimate",657,27.90%,37.70%,20.90%,13.50%,"4,001",19.60%,12.30%,23.80%,11.40%,6.50%,17.00%,9.50%,68.10%,26.50%,"1,174",75.80%,35.10%,"1,144",71.00%,18.70%,"1,224",60.90%,27.90%,459,60.60%,20.00%
"Census Tract 5001, Santa Clara County, California!!Total!!Margin of Error",±236,±14.1,±18.2,±12.8,±9.9,±462,±6.3,±4.4,±5.1,±3.4,±3.1,±4.2,±2.9,±7.3,±5.3,±333,±11.9,±9.7,±188,±12.2,±9.2,±222,±11.9,±9.4,±95,±15.6,±12.8
"Census Tract 5001, Santa Clara County, California!!Male!!Estimate",378,26.20%,41.00%,23.80%,9.00%,"2,241",17.80%,12.90%,25.20%,11.20%,7.80%,15.90%,9.30%,69.40%,25.20%,680,74.70%,32.40%,714,74.60%,19.20%,636,59.30%,24.40%,211,64.90%,25.10%
"Census Tract 5001, Santa Clara County, California!!Male!!Margin of Error",±176,±19.2,±28.9,±18.2,±9.2,±340,±7.4,±5.9,±7.7,±4.3,±3.8,±4.9,±3.8,±7.8,±6.1,±235,±13.1,±10.0,±144,±13.0,±10.3,±162,±14.8,±10.4,±72,±18.1,±16.7
"Census Tract 5001, Santa Clara County, California!!Female!!Estimate",279,30.10%,33.30%,16.80%,19.70%,"1,760",21.90%,11.60%,22.00%,11.60%,4.80%,18.40%,9.70%,66.50%,28.10%,494,77.30%,38.90%,430,64.90%,17.90%,588,62.80%,31.60%,248,56.90%,15.70%
"Census Tract 5001, Santa Clara County, California!!Female!!Margin of Error",±134,±23.0,±16.3,±16.3,±17.6,±206,±7.6,±6.5,±6.9,±4.4,±3.6,±5.4,±4.8,±9.7,±7.0,±177,±17.6,±15.5,±102,±16.0,±12.6,±142,±15.1,±13.8,±69,±21.2,±12.9
"Census Tract 5002, Santa Clara County, California!!Total!!Estimate","1,008",26.90%,20.60%,41.30%,11.20%,"4,027",5.80%,8.30%,18.60%,22.40%,5.70%,28.20%,10.90%,85.90%,39.20%,"1,389",88.20%,44.60%,"1,278",88.40%,45.90%,"1,128",91.00%,31.60%,232,33.20%,6.50%
"Census Tract 5002, Santa Clara County, California!!Total!!Margin of Error",±241,±11.5,±8.0,±12.9,±6.7,±316,±2.9,±3.0,±4.2,±5.6,±2.2,±5.4,±4.3,±3.9,±5.5,±251,±5.7,±10.5,±219,±7.7,±10.5,±167,±4.6,±10.4,±80,±28.4,±12.2
"Census Tract 5002, Santa Clara County, California!!Male!!Estimate",719,35.90%,28.90%,31.80%,3.30%,"2,641",6.40%,9.70%,27.10%,18.90%,4.90%,22.10%,10.90%,83.90%,33.10%,867,85.00%,34.70%,964,84.60%,40.50%,684,87.40%,24.40%,126,52.40%,11.90%
"Census Tract 5002, Santa Clara County, California!!Male!!Margin of Error",±162,±14.1,±10.1,±14.5,±5.2,±288,±3.4,±3.7,±6.1,±4.7,±2.6,±6.5,±4.7,±5.6,±6.3,±195,±7.2,±11.0,±193,±9.8,±13.3,±139,±7.0,±11.3,±61,±42.9,±22.3
