"GEO_ID","NAME","B01003_001M","B01003_001E",
"Geography","Geographic Area Name","Margin of Error!!Total","Estimate!!Total",
"1400000US06085500100","Census Tract 5001, Santa Clara County, California","719","5859",
"1400000US06085500200","Census Tract 5002, Santa Clara County, California","410","5555",
"1400000US06085500300","Census Tract 5003, Santa Clara County, California","937","3743",
"1400000US06085500400","Census Tract 5004, Santa Clara County, California","325","2443",
"1400000US06085500500","Census Tract 5005, Santa Clara County, California","342","5217",
"1400000US06085500600","Census Tract 5006, Santa Clara County, California","563","4612",
"1400000US06085500800","Census Tract 5008, Santa Clara County, California","308","2126",
"1400000US06085500901","Census Tract 5009.01, Santa Clara County, California","386","3157",
"1400000US06085500902","Census Tract 5009.02, Santa Clara County, California","730","2600",
"1400000US06085501000","Census Tract 5010, Santa Clara County, California","656","4795",
"1400000US06085501101","Census Tract 5011.01, Santa Clara County, California","424","3730",
"1400000US06085501102","Census Tract 5011.02, Santa Clara County, California","606","4417",
"1400000US06085501200","Census Tract 5012, Santa Clara County, California","353","3642",
"1400000US06085501300","Census Tract 5013, Santa Clara County, California","651","3793",
"1400000US06085501401","Census Tract 5014.01, Santa Clara County, California","425","3193",
"1400000US06085501402","Census Tract 5014.02, Santa Clara County, California","476","2740",
"1400000US06085501501","Census Tract 5015.01, Santa Clara County, California","431","4338",
"1400000US06085501502","Census Tract 5015.02, Santa Clara County, California","539","3610",
"1400000US06085501600","Census Tract 5016, Santa Clara County, California","654","5791",
"1400000US06085501700","Census Tract 5017, Santa Clara County, California","460","4343",
"1400000US06085501800","Census Tract 5018, Santa Clara County, California","503","4924",
"1400000US06085501900","Census Tract 5019, Santa Clara County, California","539","4496",
"1400000US06085502001","Census Tract 5020.01, Santa Clara County, California","512","4920",
"1400000US06085502002","Census Tract 5020.02, Santa Clara County, California","566","4788",
"1400000US06085502101","Census Tract 5021.01, Santa Clara County, California","337","4681",
"1400000US06085502102","Census Tract 5021.02, Santa Clara County, California","569","6661",
"1400000US06085502201","Census Tract 5022.01, Santa Clara County, California","707","6594",
"1400000US06085502202","Census Tract 5022.02, Santa Clara County, California","231","2554",
"1400000US06085502301","Census Tract 5023.01, Santa Clara County, California","194","2923",
"1400000US06085502302","Census Tract 5023.02, Santa Clara County, California","348","2914",
"1400000US06085502400","Census Tract 5024, Santa Clara County, California","368","6989",
"1400000US06085502500","Census Tract 5025, Santa Clara County, California","312","5876",
"1400000US06085502601","Census Tract 5026.01, Santa Clara County, California","229","2712",
"1400000US06085502603","Census Tract 5026.03, Santa Clara County, California","210","2650",
"1400000US06085502604","Census Tract 5026.04, Santa Clara County, California","403","4384",
"1400000US06085502701","Census Tract 5027.01, Santa Clara County, California","309","4429",
"1400000US06085502702","Census Tract 5027.02, Santa Clara County, California","510","7720",
"1400000US06085502800","Census Tract 5028, Santa Clara County, California","288","4130",
"1400000US06085502901","Census Tract 5029.01, Santa Clara County, California","361","5821",
"1400000US06085502902","Census Tract 5029.02, Santa Clara County, California","427","7498",
"1400000US06085502903","Census Tract 5029.03, Santa Clara County, California","381","5108",
"1400000US06085502906","Census Tract 5029.06, Santa Clara County, California","386","4325",
"1400000US06085502907","Census Tract 5029.07, Santa Clara County, California","223","3504",
"1400000US06085502908","Census Tract 5029.08, Santa Clara County, California","469","6867",
"1400000US06085502909","Census Tract 5029.09, Santa Clara County, California","459","5038",
"1400000US06085502910","Census Tract 5029.10, Santa Clara County, California","223","3524",
"1400000US06085503001","Census Tract 5030.01, Santa Clara County, California","260","3891",
"1400000US06085503002","Census Tract 5030.02, Santa Clara County, California","243","3451",
"1400000US06085503003","Census Tract 5030.03, Santa Clara County, California","305","5348",
"1400000US06085503105","Census Tract 5031.05, Santa Clara County, California","408","2100",
"1400000US06085503108","Census Tract 5031.08, Santa Clara County, California","576","7908",
"1400000US06085503110","Census Tract 5031.10, Santa Clara County, California","474","4467",
"1400000US06085503111","Census Tract 5031.11, Santa Clara County, California","577","4676",
"1400000US06085503112","Census Tract 5031.12, Santa Clara County, California","386","4033",
"1400000US06085503113","Census Tract 5031.13, Santa Clara County, California","531","5351",
"1400000US06085503115","Census Tract 5031.15, Santa Clara County, California","366","5574",
"1400000US06085503116","Census Tract 5031.16, Santa Clara County, California","422","5045",
"1400000US06085503117","Census Tract 5031.17, Santa Clara County, California","463","2986",
"1400000US06085503118","Census Tract 5031.18, Santa Clara County, California","693","4850",
"1400000US06085503121","Census Tract 5031.21, Santa Clara County, California","619","4222",
"1400000US06085503122","Census Tract 5031.22, Santa Clara County, California","366","2736",
"1400000US06085503123","Census Tract 5031.23, Santa Clara County, California","631","3609",
"1400000US06085503204","Census Tract 5032.04, Santa Clara County, California","571","7157",
"1400000US06085503207","Census Tract 5032.07, Santa Clara County, California","519","4142",
"1400000US06085503208","Census Tract 5032.08, Santa Clara County, California","539","3867",
"1400000US06085503210","Census Tract 5032.10, Santa Clara County, California","533","4302",
"1400000US06085503211","Census Tract 5032.11, Santa Clara County, California","426","4696",
"1400000US06085503212","Census Tract 5032.12, Santa Clara County, California","389","4587",
"1400000US06085503213","Census Tract 5032.13, Santa Clara County, California","376","4484",
