GEO_ID,NAME,B02001_001E,B02001_001M,B02001_002E,B02001_002M,B02001_003E,B02001_003M,B02001_004E,B02001_004M,B02001_005E,B02001_005M,B02001_006E,B02001_006M,B02001_007E,B02001_007M,B02001_008E,B02001_008M,B02001_009E,B02001_009M,B02001_010E,B02001_010M
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!White alone,Margin of Error!!Total!!White alone,Estimate!!Total!!Black or African American alone,Margin of Error!!Total!!Black or African American alone,Estimate!!Total!!American Indian and Alaska Native alone,Margin of Error!!Total!!American Indian and Alaska Native alone,Estimate!!Total!!Asian alone,Margin of Error!!Total!!Asian alone,Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Some other race alone,Margin of Error!!Total!!Some other race alone,Estimate!!Total!!Two or more races,Margin of Error!!Total!!Two or more races,Estimate!!Total!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
0500000US06085,"Santa Clara County, California",1739396,*****,879240,6066,44431,1019,9905,1226,547207,2207,6497,441,184384,5903,67732,2716,17425,1665,50307,2378
1400000US06085500100,"Census Tract 5001, Santa Clara County, California",5859,719,2192,573,324,174,245,199,1500,319,0,132,1463,585,135,84,62,68,73,49
1400000US06085500200,"Census Tract 5002, Santa Clara County, California",5555,410,2884,354,409,241,275,198,753,227,0,132,974,325,260,127,19,23,241,124
1400000US06085500300,"Census Tract 5003, Santa Clara County, California",3743,937,1934,506,46,38,100,111,468,154,0,132,1098,412,97,69,68,67,29,28
1400000US06085500400,"Census Tract 5004, Santa Clara County, California",2443,325,1598,214,113,107,0,132,158,106,0,132,485,313,89,82,0,132,89,82
1400000US06085500500,"Census Tract 5005, Santa Clara County, California",5217,342,4012,425,8,13,11,16,476,134,0,132,340,204,370,171,63,79,307,147
1400000US06085500600,"Census Tract 5006, Santa Clara County, California",4612,563,2974,653,99,74,34,37,419,188,0,132,820,399,266,102,28,37,238,99
1400000US06085500800,"Census Tract 5008, Santa Clara County, California",2126,308,979,251,100,94,6,14,473,147,6,17,551,266,11,17,0,132,11,17
1400000US06085500901,"Census Tract 5009.01, Santa Clara County, California",3157,386,1529,309,158,87,21,33,682,187,22,32,626,298,119,100,39,49,80,87
1400000US06085500902,"Census Tract 5009.02, Santa Clara County, California",2600,730,722,322,79,55,36,56,1200,423,0,132,436,156,127,94,49,80,78,56
1400000US06085501000,"Census Tract 5010, Santa Clara County, California",4795,656,1690,455,261,178,428,540,716,187,0,132,1650,612,50,50,0,132,50,50
1400000US06085501101,"Census Tract 5011.01, Santa Clara County, California",3730,424,1688,370,22,37,16,28,1061,236,22,32,556,301,365,248,38,42,327,248
1400000US06085501102,"Census Tract 5011.02, Santa Clara County, California",4417,606,2483,696,181,171,8,14,382,169,0,132,1324,556,39,49,39,49,0,132
1400000US06085501200,"Census Tract 5012, Santa Clara County, California",3642,353,1978,431,99,76,73,59,435,172,15,23,934,311,108,94,0,132,108,94
1400000US06085501300,"Census Tract 5013, Santa Clara County, California",3793,651,2271,437,100,114,36,43,469,164,31,53,653,351,233,106,64,56,169,94
1400000US06085501401,"Census Tract 5014.01, Santa Clara County, California",3193,425,1104,351,24,40,19,22,321,101,0,132,1715,473,10,15,10,15,0,132
1400000US06085501402,"Census Tract 5014.02, Santa Clara County, California",2740,476,1193,358,0,132,41,65,237,155,0,132,1240,599,29,35,11,18,18,28
1400000US06085501501,"Census Tract 5015.01, Santa Clara County, California",4338,431,1417,513,146,190,0,132,964,238,21,24,1583,497,207,162,121,125,86,90
1400000US06085501502,"Census Tract 5015.02, Santa Clara County, California",3610,539,1235,389,204,245,12,19,388,228,0,132,1706,711,65,56,48,61,17,18
1400000US06085501600,"Census Tract 5016, Santa Clara County, California",5791,654,2785,548,481,454,0,132,926,316,0,132,1296,515,303,198,183,167,120,106
1400000US06085501700,"Census Tract 5017, Santa Clara County, California",4343,460,2217,425,74,85,0,132,109,74,0,132,1856,548,87,69,32,51,55,44
1400000US06085501800,"Census Tract 5018, Santa Clara County, California",4924,503,2763,384,45,37,167,205,416,305,30,65,1199,396,304,151,134,78,170,132
1400000US06085501900,"Census Tract 5019, Santa Clara County, California",4496,539,1744,333,705,386,38,42,776,223,0,132,1106,509,127,84,56,50,71,56
1400000US06085502001,"Census Tract 5020.01, Santa Clara County, California",4920,512,2959,517,75,92,30,48,612,326,25,39,1122,506,97,89,43,70,54,46
1400000US06085502002,"Census Tract 5020.02, Santa Clara County, California",4788,566,2415,531,119,90,16,25,131,69,27,36,1821,465,259,126,94,89,165,95
1400000US06085502101,"Census Tract 5021.01, Santa Clara County, California",4681,337,2928,354,19,22,35,34,934,245,26,34,675,399,64,63,47,60,17,20
1400000US06085502102,"Census Tract 5021.02, Santa Clara County, California",6661,569,3806,540,399,221,24,29,926,234,0,132,1356,506,150,127,40,56,110,115
1400000US06085502201,"Census Tract 5022.01, Santa Clara County, California",6594,707,2969,558,494,232,52,44,1202,370,91,123,1359,815,427,376,287,347,140,104
1400000US06085502202,"Census Tract 5022.02, Santa Clara County, California",2554,231,1814,257,126,83,32,27,332,110,0,132,121,113,129,75,6,11,123,74
1400000US06085502301,"Census Tract 5023.01, Santa Clara County, California",2923,194,2240,219,67,75,0,132,193,125,0,132,385,170,38,46,0,132,38,46
1400000US06085502302,"Census Tract 5023.02, Santa Clara County, California",2914,348,2132,466,32,37,15,26,143,129,0,132,338,200,254,161,87,79,167,130
1400000US06085502400,"Census Tract 5024, Santa Clara County, California",6989,368,5682,480,199,156,0,132,398,173,45,54,444,346,221,109,28,34,193,102
1400000US06085502500,"Census Tract 5025, Santa Clara County, California",5876,312,4463,364,117,143,18,21,348,190,0,132,447,152,483,246,259,238,224,144
1400000US06085502601,"Census Tract 5026.01, Santa Clara County, California",2712,229,2306,248,13,20,20,21,197,111,0,132,82,79,94,73,32,45,62,60
1400000US06085502603,"Census Tract 5026.03, Santa Clara County, California",2650,210,2077,256,26,45,0,132,199,119,0,132,126,132,222,135,31,54,191,123
1400000US06085502604,"Census Tract 5026.04, Santa Clara County, California",4384,403,2729,341,144,111,0,132,738,268,0,132,173,104,600,462,342,454,258,161
1400000US06085502701,"Census Tract 5027.01, Santa Clara County, California",4429,309,3300,328,66,67,0,132,673,158,0,132,157,131,233,125,41,44,192,108
1400000US06085502702,"Census Tract 5027.02, Santa Clara County, California",7720,510,6030,596,200,158,16,25,995,267,0,132,219,175,260,125,72,78,188,108
1400000US06085502800,"Census Tract 5028, Santa Clara County, California",4130,288,3172,288,7,13,193,203,424,168,0,132,123,122,211,116,68,83,143,79
1400000US06085502901,"Census Tract 5029.01, Santa Clara County, California",5821,361,4472,388,18,28,17,27,857,259,54,57,252,166,151,136,0,132,151,136
1400000US06085502902,"Census Tract 5029.02, Santa Clara County, California",7498,427,5348,627,189,136,4,8,690,203,0,132,911,535,356,163,69,74,287,145
1400000US06085502903,"Census Tract 5029.03, Santa Clara County, California",5108,381,4173,394,97,103,14,22,373,155,17,27,226,268,208,103,12,20,196,103
1400000US06085502906,"Census Tract 5029.06, Santa Clara County, California",4325,386,3232,427,113,143,0,132,429,128,0,132,303,208,248,152,64,65,184,127
1400000US06085502907,"Census Tract 5029.07, Santa Clara County, California",3504,223,2581,371,27,44,0,132,471,234,0,132,143,110,282,125,53,56,229,123
1400000US06085502908,"Census Tract 5029.08, Santa Clara County, California",6867,469,4826,523,228,184,60,59,1078,275,0,132,321,256,354,193,22,35,332,188
1400000US06085502909,"Census Tract 5029.09, Santa Clara County, California",5038,459,3202,550,92,90,0,132,1035,421,0,132,530,281,179,159,30,55,149,148
