GEO_ID,NAME,B25001_001M,B25001_001E
Geography,Geographic Area Name,Margin of Error!!Total,Estimate!!Total
1400000US06085500100,"Census Tract 5001, Santa Clara County, California",93,2028
1400000US06085500200,"Census Tract 5002, Santa Clara County, California",68,2093
1400000US06085500300,"Census Tract 5003, Santa Clara County, California",41,1312
1400000US06085500400,"Census Tract 5004, Santa Clara County, California",38,1056
1400000US06085500500,"Census Tract 5005, Santa Clara County, California",50,2014
1400000US06085500600,"Census Tract 5006, Santa Clara County, California",50,2221
1400000US06085500800,"Census Tract 5008, Santa Clara County, California",99,1315
1400000US06085500901,"Census Tract 5009.01, Santa Clara County, California",106,1881
1400000US06085500902,"Census Tract 5009.02, Santa Clara County, California",49,653
1400000US06085501000,"Census Tract 5010, Santa Clara County, California",109,2133
1400000US06085501101,"Census Tract 5011.01, Santa Clara County, California",79,1756
1400000US06085501102,"Census Tract 5011.02, Santa Clara County, California",68,1422
1400000US06085501200,"Census Tract 5012, Santa Clara County, California",77,1409
1400000US06085501300,"Census Tract 5013, Santa Clara County, California",104,1200
1400000US06085501401,"Census Tract 5014.01, Santa Clara County, California",44,1025
1400000US06085501402,"Census Tract 5014.02, Santa Clara County, California",48,832
1400000US06085501501,"Census Tract 5015.01, Santa Clara County, California",46,1176
1400000US06085501502,"Census Tract 5015.02, Santa Clara County, California",28,1131
1400000US06085501600,"Census Tract 5016, Santa Clara County, California",69,2595
1400000US06085501700,"Census Tract 5017, Santa Clara County, California",83,1284
1400000US06085501800,"Census Tract 5018, Santa Clara County, California",47,1757
1400000US06085501900,"Census Tract 5019, Santa Clara County, California",71,1920
1400000US06085502001,"Census Tract 5020.01, Santa Clara County, California",82,2158
1400000US06085502002,"Census Tract 5020.02, Santa Clara County, California",35,1723
1400000US06085502101,"Census Tract 5021.01, Santa Clara County, California",28,2027
1400000US06085502102,"Census Tract 5021.02, Santa Clara County, California",58,2790
1400000US06085502201,"Census Tract 5022.01, Santa Clara County, California",48,2837
1400000US06085502202,"Census Tract 5022.02, Santa Clara County, California",29,1477
1400000US06085502301,"Census Tract 5023.01, Santa Clara County, California",80,1300
1400000US06085502302,"Census Tract 5023.02, Santa Clara County, California",32,1317
1400000US06085502400,"Census Tract 5024, Santa Clara County, California",36,2957
1400000US06085502500,"Census Tract 5025, Santa Clara County, California",79,2517
1400000US06085502601,"Census Tract 5026.01, Santa Clara County, California",57,1232
1400000US06085502603,"Census Tract 5026.03, Santa Clara County, California",38,1067
1400000US06085502604,"Census Tract 5026.04, Santa Clara County, California",80,2326
1400000US06085502701,"Census Tract 5027.01, Santa Clara County, California",30,2049
1400000US06085502702,"Census Tract 5027.02, Santa Clara County, California",55,3207
1400000US06085502800,"Census Tract 5028, Santa Clara County, California",78,1392
1400000US06085502901,"Census Tract 5029.01, Santa Clara County, California",33,2285
1400000US06085502902,"Census Tract 5029.02, Santa Clara County, California",32,2677
1400000US06085502903,"Census Tract 5029.03, Santa Clara County, California",32,1984
1400000US06085502906,"Census Tract 5029.06, Santa Clara County, California",33,1679
1400000US06085502907,"Census Tract 5029.07, Santa Clara County, California",22,1357
1400000US06085502908,"Census Tract 5029.08, Santa Clara County, California",80,2386
1400000US06085502909,"Census Tract 5029.09, Santa Clara County, California",26,2092
1400000US06085502910,"Census Tract 5029.10, Santa Clara County, California",33,1513
1400000US06085503001,"Census Tract 5030.01, Santa Clara County, California",64,1591
1400000US06085503002,"Census Tract 5030.02, Santa Clara County, California",20,1346
1400000US06085503003,"Census Tract 5030.03, Santa Clara County, California",22,1821
1400000US06085503105,"Census Tract 5031.05, Santa Clara County, California",21,766
1400000US06085503108,"Census Tract 5031.08, Santa Clara County, California",32,2937
1400000US06085503110,"Census Tract 5031.10, Santa Clara County, California",27,1165
1400000US06085503111,"Census Tract 5031.11, Santa Clara County, California",24,1115
1400000US06085503112,"Census Tract 5031.12, Santa Clara County, California",52,1454
1400000US06085503113,"Census Tract 5031.13, Santa Clara County, California",30,1283
1400000US06085503115,"Census Tract 5031.15, Santa Clara County, California",59,2481
1400000US06085503116,"Census Tract 5031.16, Santa Clara County, California",28,2260
1400000US06085503117,"Census Tract 5031.17, Santa Clara County, California",20,776
1400000US06085503118,"Census Tract 5031.18, Santa Clara County, California",35,1751
1400000US06085503121,"Census Tract 5031.21, Santa Clara County, California",39,1579
1400000US06085503122,"Census Tract 5031.22, Santa Clara County, California",27,1193
1400000US06085503123,"Census Tract 5031.23, Santa Clara County, California",43,1694
1400000US06085503204,"Census Tract 5032.04, Santa Clara County, California",58,2255
1400000US06085503207,"Census Tract 5032.07, Santa Clara County, California",27,1034
1400000US06085503208,"Census Tract 5032.08, Santa Clara County, California",17,874
1400000US06085503210,"Census Tract 5032.10, Santa Clara County, California",36,964
1400000US06085503211,"Census Tract 5032.11, Santa Clara County, California",29,1149
1400000US06085503212,"Census Tract 5032.12, Santa Clara County, California",20,985
1400000US06085503213,"Census Tract 5032.13, Santa Clara County, California",23,1262
1400000US06085503214,"Census Tract 5032.14, Santa Clara County, California",58,1782
1400000US06085503217,"Census Tract 5032.17, Santa Clara County, California",21,1105
1400000US06085503218,"Census Tract 5032.18, Santa Clara County, California",19,1165
1400000US06085503304,"Census Tract 5033.04, Santa Clara County, California",41,1865
1400000US06085503305,"Census Tract 5033.05, Santa Clara County, California",26,1531
1400000US06085503306,"Census Tract 5033.06, Santa Clara County, California",25,908
1400000US06085503312,"Census Tract 5033.12, Santa Clara County, California",29,1115
1400000US06085503313,"Census Tract 5033.13, Santa Clara County, California",27,1318
1400000US06085503315,"Census Tract 5033.15, Santa Clara County, California",36,2024
1400000US06085503321,"Census Tract 5033.21, Santa Clara County, California",19,1101
1400000US06085503322,"Census Tract 5033.22, Santa Clara County, California",22,1056
1400000US06085503323,"Census Tract 5033.23, Santa Clara County, California",24,1243
1400000US06085503324,"Census Tract 5033.24, Santa Clara County, California",28,923
