"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B25009_001E","Estimate!!Total"
"B25009_001M","Margin of Error!!Total"
"B25009_002E","Estimate!!Total!!Owner occupied"
"B25009_002M","Margin of Error!!Total!!Owner occupied"
"B25009_003E","Estimate!!Total!!Owner occupied!!1-person household"
"B25009_003M","Margin of Error!!Total!!Owner occupied!!1-person household"
"B25009_004E","Estimate!!Total!!Owner occupied!!2-person household"
"B25009_004M","Margin of Error!!Total!!Owner occupied!!2-person household"
"B25009_005E","Estimate!!Total!!Owner occupied!!3-person household"
"B25009_005M","Margin of Error!!Total!!Owner occupied!!3-person household"
"B25009_006E","Estimate!!Total!!Owner occupied!!4-person household"
"B25009_006M","Margin of Error!!Total!!Owner occupied!!4-person household"
"B25009_007E","Estimate!!Total!!Owner occupied!!5-person household"
"B25009_007M","Margin of Error!!Total!!Owner occupied!!5-person household"
"B25009_008E","Estimate!!Total!!Owner occupied!!6-person household"
"B25009_008M","Margin of Error!!Total!!Owner occupied!!6-person household"
"B25009_009E","Estimate!!Total!!Owner occupied!!7-or-more person household"
"B25009_009M","Margin of Error!!Total!!Owner occupied!!7-or-more person household"
"B25009_010E","Estimate!!Total!!Renter occupied"
"B25009_010M","Margin of Error!!Total!!Renter occupied"
"B25009_011E","Estimate!!Total!!Renter occupied!!1-person household"
"B25009_011M","Margin of Error!!Total!!Renter occupied!!1-person household"
"B25009_012E","Estimate!!Total!!Renter occupied!!2-person household"
"B25009_012M","Margin of Error!!Total!!Renter occupied!!2-person household"
"B25009_013E","Estimate!!Total!!Renter occupied!!3-person household"
"B25009_013M","Margin of Error!!Total!!Renter occupied!!3-person household"
"B25009_014E","Estimate!!Total!!Renter occupied!!4-person household"
"B25009_014M","Margin of Error!!Total!!Renter occupied!!4-person household"
"B25009_015E","Estimate!!Total!!Renter occupied!!5-person household"
"B25009_015M","Margin of Error!!Total!!Renter occupied!!5-person household"
"B25009_016E","Estimate!!Total!!Renter occupied!!6-person household"
"B25009_016M","Margin of Error!!Total!!Renter occupied!!6-person household"
"B25009_017E","Estimate!!Total!!Renter occupied!!7-or-more person household"
"B25009_017M","Margin of Error!!Total!!Renter occupied!!7-or-more person household"
