GEO_ID,NAME,B25009_001E,B25009_001M,B25009_002E,B25009_002M,B25009_003E,B25009_003M,B25009_004E,B25009_004M,B25009_005E,B25009_005M,B25009_006E,B25009_006M,B25009_007E,B25009_007M,B25009_008E,B25009_008M,B25009_009E,B25009_009M,B25009_010E,B25009_010M,B25009_011E,B25009_011M,B25009_012E,B25009_012M,B25009_013E,B25009_013M,B25009_014E,B25009_014M,B25009_015E,B25009_015M,B25009_016E,B25009_016M,B25009_017E,B25009_017M
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Owner occupied,Margin of Error!!Total!!Owner occupied,Estimate!!Total!!Owner occupied!!1-person household,Margin of Error!!Total!!Owner occupied!!1-person household,Estimate!!Total!!Owner occupied!!2-person household,Margin of Error!!Total!!Owner occupied!!2-person household,Estimate!!Total!!Owner occupied!!3-person household,Margin of Error!!Total!!Owner occupied!!3-person household,Estimate!!Total!!Owner occupied!!4-person household,Margin of Error!!Total!!Owner occupied!!4-person household,Estimate!!Total!!Owner occupied!!5-person household,Margin of Error!!Total!!Owner occupied!!5-person household,Estimate!!Total!!Owner occupied!!6-person household,Margin of Error!!Total!!Owner occupied!!6-person household,Estimate!!Total!!Owner occupied!!7-or-more person household,Margin of Error!!Total!!Owner occupied!!7-or-more person household,Estimate!!Total!!Renter occupied,Margin of Error!!Total!!Renter occupied,Estimate!!Total!!Renter occupied!!1-person household,Margin of Error!!Total!!Renter occupied!!1-person household,Estimate!!Total!!Renter occupied!!2-person household,Margin of Error!!Total!!Renter occupied!!2-person household,Estimate!!Total!!Renter occupied!!3-person household,Margin of Error!!Total!!Renter occupied!!3-person household,Estimate!!Total!!Renter occupied!!4-person household,Margin of Error!!Total!!Renter occupied!!4-person household,Estimate!!Total!!Renter occupied!!5-person household,Margin of Error!!Total!!Renter occupied!!5-person household,Estimate!!Total!!Renter occupied!!6-person household,Margin of Error!!Total!!Renter occupied!!6-person household,Estimate!!Total!!Renter occupied!!7-or-more person household,Margin of Error!!Total!!Renter occupied!!7-or-more person household
1400000US06085500100,"Census Tract 5001, Santa Clara County, California",1970,103,698,135,245,86,179,53,96,53,74,55,91,75,13,22,0,132,1272,165,353,129,277,87,201,89,261,120,75,61,62,60,43,45
1400000US06085500200,"Census Tract 5002, Santa Clara County, California",2023,101,520,120,126,73,213,120,65,55,80,59,36,40,0,132,0,132,1503,164,630,144,678,168,106,66,69,64,20,27,0,132,0,132
1400000US06085500300,"Census Tract 5003, Santa Clara County, California",1204,75,447,84,119,65,182,55,102,70,12,15,16,19,16,18,0,132,757,96,281,76,229,83,144,73,71,58,10,13,0,132,22,27
1400000US06085500400,"Census Tract 5004, Santa Clara County, California",986,76,360,83,66,37,183,72,51,37,38,33,22,26,0,132,0,132,626,107,218,90,146,81,112,67,71,62,67,65,12,21,0,132
1400000US06085500500,"Census Tract 5005, Santa Clara County, California",1864,93,1328,138,238,91,520,105,222,92,292,79,27,28,0,132,29,17,536,143,167,75,153,82,63,58,123,92,30,37,0,132,0,132
1400000US06085500600,"Census Tract 5006, Santa Clara County, California",2082,98,817,131,134,58,398,88,212,87,29,28,44,69,0,132,0,132,1265,137,583,138,401,121,113,73,106,78,7,14,7,18,48,61
1400000US06085500800,"Census Tract 5008, Santa Clara County, California",1032,130,317,93,155,68,81,57,25,28,18,20,26,36,12,21,0,132,715,140,394,128,143,57,61,61,54,53,43,48,20,31,0,132
1400000US06085500901,"Census Tract 5009.01, Santa Clara County, California",1677,137,147,57,66,46,59,33,22,25,0,132,0,132,0,132,0,132,1530,136,685,142,606,119,185,78,13,20,30,41,0,132,11,17
1400000US06085500902,"Census Tract 5009.02, Santa Clara County, California",523,81,22,24,0,132,0,132,15,22,0,132,7,13,0,132,0,132,501,83,122,71,154,89,149,89,38,35,22,18,16,23,0,132
1400000US06085501000,"Census Tract 5010, Santa Clara County, California",1976,118,373,123,130,87,90,51,106,84,47,41,0,132,0,132,0,132,1603,153,628,153,443,139,265,112,51,48,75,76,121,95,20,37
1400000US06085501101,"Census Tract 5011.01, Santa Clara County, California",1694,75,515,109,121,62,203,71,117,94,40,37,17,27,6,16,11,19,1179,126,535,118,434,121,44,46,86,74,80,79,0,132,0,132
1400000US06085501102,"Census Tract 5011.02, Santa Clara County, California",1315,107,879,133,126,63,334,115,78,51,62,63,178,79,87,84,14,23,436,127,97,79,49,47,154,100,32,33,72,72,0,132,32,49
1400000US06085501200,"Census Tract 5012, Santa Clara County, California",1398,79,516,96,147,60,218,67,56,45,58,46,19,29,8,12,10,17,882,109,260,89,265,106,179,116,84,63,64,48,0,132,30,38
1400000US06085501300,"Census Tract 5013, Santa Clara County, California",1125,108,606,99,121,51,173,58,129,66,110,53,51,57,11,17,11,17,519,101,213,79,164,68,57,56,14,17,55,42,16,20,0,132
1400000US06085501401,"Census Tract 5014.01, Santa Clara County, California",979,67,230,72,100,52,52,43,46,45,25,24,7,12,0,132,0,132,749,87,145,52,111,67,86,58,178,97,182,99,0,132,47,53
1400000US06085501402,"Census Tract 5014.02, Santa Clara County, California",832,48,429,96,129,89,150,65,75,60,50,48,4,11,17,24,4,11,403,93,74,63,67,55,65,41,54,53,36,40,35,50,72,66
1400000US06085501501,"Census Tract 5015.01, Santa Clara County, California",1161,52,338,91,82,47,75,44,37,32,105,59,19,24,13,15,7,12,823,106,169,72,76,49,185,86,74,54,127,79,91,71,101,60
1400000US06085501502,"Census Tract 5015.02, Santa Clara County, California",996,98,529,130,83,53,177,85,63,54,73,64,40,35,27,33,66,49,467,124,103,67,72,56,118,97,51,45,24,38,39,45,60,60
1400000US06085501600,"Census Tract 5016, Santa Clara County, California",2203,181,402,113,138,79,77,41,36,39,58,53,45,34,40,60,8,12,1801,199,747,200,600,179,185,98,75,66,75,50,0,132,119,74
1400000US06085501700,"Census Tract 5017, Santa Clara County, California",1205,103,373,70,61,32,62,41,48,35,57,36,68,46,47,42,30,28,832,124,148,79,201,82,105,76,240,90,64,54,38,37,36,40
1400000US06085501800,"Census Tract 5018, Santa Clara County, California",1628,81,895,128,213,84,319,109,173,75,104,64,35,34,31,37,20,30,733,135,128,81,171,96,107,72,138,73,125,81,26,42,38,37
1400000US06085501900,"Census Tract 5019, Santa Clara County, California",1868,91,591,122,260,104,197,88,118,58,0,132,0,132,4,14,12,19,1277,127,440,122,354,115,139,82,193,79,48,52,69,50,34,55
1400000US06085502001,"Census Tract 5020.01, Santa Clara County, California",2092,105,638,138,189,93,171,78,97,73,66,55,65,58,25,31,25,36,1454,146,638,143,315,154,300,162,161,106,40,47,0,132,0,132
1400000US06085502002,"Census Tract 5020.02, Santa Clara County, California",1579,102,410,99,111,61,112,61,98,49,40,31,16,17,0,132,33,27,1169,130,290,93,301,103,139,89,168,107,170,88,92,74,9,14
1400000US06085502101,"Census Tract 5021.01, Santa Clara County, California",1945,82,1270,151,487,109,429,124,192,107,86,51,72,45,4,9,0,132,675,142,171,84,206,91,179,111,47,42,41,40,0,132,31,47
