GEO_ID,NAME,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008
Geography,Geographic Area Name,Total,Total!!White alone,Total!!Black or African American alone,Total!!American Indian and Alaska Native alone,Total!!Asian alone,Total!!Native Hawaiian and Other Pacific Islander alone,Total!!Some Other Race alone,Total!!Two or More Races
0500000US06085,"Santa Clara County, California",1781642,836616,46428,12960,570524,7060,220806,87248
1400000US06085500100,"Census Tract 5001, Santa Clara County, California",6339,2768,164,89,1320,42,1662,294
1400000US06085500200,"Census Tract 5002, Santa Clara County, California",5822,2846,393,56,917,19,1247,344
1400000US06085500300,"Census Tract 5003, Santa Clara County, California",3140,1869,115,58,353,27,535,183
1400000US06085500400,"Census Tract 5004, Santa Clara County, California",2369,1546,107,28,208,7,316,157
1400000US06085500500,"Census Tract 5005, Santa Clara County, California",5275,3724,122,70,626,19,403,311
1400000US06085500600,"Census Tract 5006, Santa Clara County, California",4586,2874,293,49,604,24,508,234
1400000US06085500800,"Census Tract 5008, Santa Clara County, California",2600,1191,148,46,504,9,521,181
1400000US06085500901,"Census Tract 5009.01, Santa Clara County, California",3723,1689,252,39,1246,16,309,172
1400000US06085500902,"Census Tract 5009.02, Santa Clara County, California",4523,1852,461,43,1345,39,621,162
1400000US06085501000,"Census Tract 5010, Santa Clara County, California",4769,2168,198,75,879,20,1163,266
1400000US06085501101,"Census Tract 5011.01, Santa Clara County, California",4074,1838,151,53,1014,12,741,265
1400000US06085501102,"Census Tract 5011.02, Santa Clara County, California",4477,2203,112,75,503,14,1327,243
1400000US06085501200,"Census Tract 5012, Santa Clara County, California",4186,2038,109,92,481,7,1178,281
1400000US06085501300,"Census Tract 5013, Santa Clara County, California",4153,2444,224,42,642,14,532,255
1400000US06085501401,"Census Tract 5014.01, Santa Clara County, California",3295,1503,97,62,291,17,1178,147
1400000US06085501402,"Census Tract 5014.02, Santa Clara County, California",2947,1475,67,63,333,6,907,96
1400000US06085501501,"Census Tract 5015.01, Santa Clara County, California",4278,1456,80,43,1088,3,1389,219
1400000US06085501502,"Census Tract 5015.02, Santa Clara County, California",4549,2007,80,56,679,21,1506,200
1400000US06085501600,"Census Tract 5016, Santa Clara County, California",6854,3019,349,104,1249,44,1718,371
