GEO_ID,NAME,H016001,H016002,H016003,H016004,H016005,H016006,H016007,H016008,H016009,H016010,H016011,H016012,H016013,H016014,H016015,H016016,H016017
Geography,Geographic Area Name,Total,Total!!Owner occupied,Total!!Owner occupied!!1-person household,Total!!Owner occupied!!2-person household,Total!!Owner occupied!!3-person household,Total!!Owner occupied!!4-person household,Total!!Owner occupied!!5-person household,Total!!Owner occupied!!6-person household,Total!!Owner occupied!!7-or-more-person household,Total!!Renter occupied,Total!!Renter occupied!!1-person household,Total!!Renter occupied!!2-person household,Total!!Renter occupied!!3-person household,Total!!Renter occupied!!4-person household,Total!!Renter occupied!!5-person household,Total!!Renter occupied!!6-person household,Total!!Renter occupied!!7-or-more-person household
1400000US06085500100,"Census Tract 5001, Santa Clara County, California",2078,883,243,252,150,107,56,36,39,1195,238,308,214,174,110,65,86
1400000US06085500200,"Census Tract 5002, Santa Clara County, California",1998,549,180,181,85,60,24,10,9,1449,642,478,154,96,42,17,20
1400000US06085500300,"Census Tract 5003, Santa Clara County, California",1233,495,145,172,92,55,18,6,7,738,255,245,102,76,23,21,16
1400000US06085500400,"Census Tract 5004, Santa Clara County, California",950,382,91,153,62,47,21,4,4,568,202,163,82,64,39,11,7
1400000US06085500500,"Census Tract 5005, Santa Clara County, California",1979,1395,269,581,222,221,70,18,14,584,177,163,98,74,45,16,11
1400000US06085500600,"Census Tract 5006, Santa Clara County, California",2073,782,195,276,157,101,36,9,8,1291,532,439,188,75,34,10,13
1400000US06085500800,"Census Tract 5008, Santa Clara County, California",1305,401,166,159,35,14,13,6,8,904,473,246,81,48,24,15,17
1400000US06085500901,"Census Tract 5009.01, Santa Clara County, California",1911,275,132,112,17,11,2,1,0,1636,770,511,176,120,39,10,10
1400000US06085500902,"Census Tract 5009.02, Santa Clara County, California",629,17,5,7,0,3,1,0,1,612,165,227,101,65,28,16,10
1400000US06085501000,"Census Tract 5010, Santa Clara County, California",1986,397,120,127,60,35,16,14,25,1589,700,392,184,167,62,46,38
1400000US06085501101,"Census Tract 5011.01, Santa Clara County, California",1712,464,163,152,66,42,17,8,16,1248,506,409,152,86,45,24,26
1400000US06085501102,"Census Tract 5011.02, Santa Clara County, California",1328,810,154,229,134,126,62,54,51,518,88,121,71,86,62,40,50
1400000US06085501200,"Census Tract 5012, Santa Clara County, California",1364,519,95,162,94,54,42,27,45,845,252,186,144,104,79,30,50
1400000US06085501300,"Census Tract 5013, Santa Clara County, California",1348,522,93,197,104,83,26,10,9,826,324,218,114,66,44,36,24
1400000US06085501401,"Census Tract 5014.01, Santa Clara County, California",973,272,78,87,42,19,18,6,22,701,121,144,103,132,108,47,46
1400000US06085501402,"Census Tract 5014.02, Santa Clara County, California",829,299,55,80,42,47,30,11,34,530,93,124,85,74,57,39,58
1400000US06085501501,"Census Tract 5015.01, Santa Clara County, California",1135,476,64,83,75,99,62,38,55,659,114,123,110,97,92,53,70
1400000US06085501502,"Census Tract 5015.02, Santa Clara County, California",1086,565,71,122,114,92,62,41,63,521,47,73,63,82,97,62,97
1400000US06085501600,"Census Tract 5016, Santa Clara County, California",2476,486,125,148,96,55,27,14,21,1990,611,520,353,238,131,69,68
1400000US06085501700,"Census Tract 5017, Santa Clara County, California",1227,279,49,67,28,45,29,16,45,948,163,153,149,167,142,75,99
1400000US06085501800,"Census Tract 5018, Santa Clara County, California",1686,1036,226,323,191,156,65,36,39,650,152,145,103,100,72,31,47
1400000US06085501900,"Census Tract 5019, Santa Clara County, California",2103,725,274,266,114,46,14,6,5,1378,545,400,169,128,72,35,29
1400000US06085502001,"Census Tract 5020.01, Santa Clara County, California",1970,727,177,230,135,95,46,23,21,1243,469,327,173,129,67,36,42
1400000US06085502002,"Census Tract 5020.02, Santa Clara County, California",1534,400,96,131,79,49,23,9,13,1134,241,226,189,174,151,91,62
1400000US06085502101,"Census Tract 5021.01, Santa Clara County, California",1908,1275,355,449,233,153,56,18,11,633,179,187,120,79,38,24,6
1400000US06085502102,"Census Tract 5021.02, Santa Clara County, California",2599,645,146,236,100,105,27,15,16,1954,519,516,313,277,159,88,82
1400000US06085502201,"Census Tract 5022.01, Santa Clara County, California",2670,550,248,194,57,38,8,3,2,2120,711,621,331,248,132,54,23
1400000US06085502202,"Census Tract 5022.02, Santa Clara County, California",1379,817,336,277,98,74,23,7,2,562,242,194,74,36,8,5,3
1400000US06085502301,"Census Tract 5023.01, Santa Clara County, California",1344,785,184,299,137,125,29,9,2,559,189,169,96,50,33,13,9
1400000US06085502302,"Census Tract 5023.02, Santa Clara County, California",1240,452,92,166,76,92,23,2,1,788,356,196,117,63,33,12,11
1400000US06085502400,"Census Tract 5024, Santa Clara County, California",2814,2019,488,735,339,315,112,20,10,795,265,249,153,76,33,14,5
1400000US06085502500,"Census Tract 5025, Santa Clara County, California",2438,1863,417,651,308,353,103,18,13,575,170,187,96,82,25,8,7
1400000US06085502601,"Census Tract 5026.01, Santa Clara County, California",1168,893,235,362,114,111,50,16,5,275,151,71,28,14,8,1,2
1400000US06085502603,"Census Tract 5026.03, Santa Clara County, California",1014,745,148,271,134,133,44,12,3,269,111,86,23,34,10,4,1
1400000US06085502604,"Census Tract 5026.04, Santa Clara County, California",2210,535,249,189,53,30,10,3,1,1675,723,560,232,83,40,19,18
1400000US06085502701,"Census Tract 5027.01, Santa Clara County, California",1947,1056,233,356,197,174,61,23,12,891,312,271,137,94,43,19,15
1400000US06085502702,"Census Tract 5027.02, Santa Clara County, California",3131,2131,500,661,428,366,122,36,18,1000,346,310,157,115,41,16,15
1400000US06085502800,"Census Tract 5028, Santa Clara County, California",1390,1079,155,347,213,223,92,29,20,311,57,76,77,50,32,12,7
1400000US06085502901,"Census Tract 5029.01, Santa Clara County, California",2193,1423,264,464,283,289,80,28,15,770,202,222,148,116,56,17,9
1400000US06085502902,"Census Tract 5029.02, Santa Clara County, California",2575,2158,404,779,354,406,147,47,21,417,55,109,87,83,59,15,9
1400000US06085502903,"Census Tract 5029.03, Santa Clara County, California",1917,1660,316,661,270,290,91,25,7,257,42,69,51,52,24,8,11
1400000US06085502906,"Census Tract 5029.06, Santa Clara County, California",1615,1006,199,318,205,183,67,15,19,609,123,167,125,108,49,23,14
1400000US06085502907,"Census Tract 5029.07, Santa Clara County, California",1318,1131,193,372,205,233,80,26,22,187,24,39,53,39,18,6,8
1400000US06085502908,"Census Tract 5029.08, Santa Clara County, California",2359,1707,270,577,323,373,121,28,15,652,167,169,99,108,52,35,22
1400000US06085502909,"Census Tract 5029.09, Santa Clara County, California",1981,1112,257,376,215,179,49,26,10,869,263,254,148,105,55,27,17
1400000US06085502910,"Census Tract 5029.10, Santa Clara County, California",1460,680,132,240,134,120,31,12,11,780,285,217,111,102,34,17,14
1400000US06085503001,"Census Tract 5030.01, Santa Clara County, California",1584,1321,297,498,246,188,73,11,8,263,66,64,71,42,17,3,0
1400000US06085503002,"Census Tract 5030.02, Santa Clara County, California",1276,893,172,314,175,146,50,19,17,383,144,88,57,44,29,13,8
1400000US06085503003,"Census Tract 5030.03, Santa Clara County, California",1766,1513,237,514,293,306,107,35,21,253,19,71,74,45,27,9,8
1400000US06085503105,"Census Tract 5031.05, Santa Clara County, California",756,220,24,40,41,47,31,15,22,536,134,157,73,69,41,34,28
1400000US06085503108,"Census Tract 5031.08, Santa Clara County, California",2739,1077,173,302,239,237,86,28,12,1662,412,427,295,254,159,68,47
1400000US06085503110,"Census Tract 5031.10, Santa Clara County, California",1062,264,16,51,51,54,21,26,45,798,69,85,119,182,128,97,118
1400000US06085503111,"Census Tract 5031.11, Santa Clara County, California",1063,738,50,124,101,148,103,77,135,325,21,21,51,45,59,48,80
1400000US06085503112,"Census Tract 5031.12, Santa Clara County, California",1455,476,150,136,67,42,25,20,36,979,270,283,160,121,74,28,43
1400000US06085503113,"Census Tract 5031.13, Santa Clara County, California",1276,411,77,93,70,45,39,32,55,865,156,170,130,158,104,54,93
1400000US06085503115,"Census Tract 5031.15, Santa Clara County, California",2477,2059,552,801,361,221,80,29,15,418,48,141,108,68,33,16,4
1400000US06085503116,"Census Tract 5031.16, Santa Clara County, California",2129,1153,342,332,189,166,78,30,16,976,295,336,167,111,39,13,15
1400000US06085503117,"Census Tract 5031.17, Santa Clara County, California",721,246,17,35,48,44,37,23,42,475,46,66,69,91,76,56,71
1400000US06085503118,"Census Tract 5031.18, Santa Clara County, California",1619,450,95,122,68,65,48,13,39,1169,166,271,231,194,150,79,78
1400000US06085503121,"Census Tract 5031.21, Santa Clara County, California",1480,512,163,127,69,52,36,27,38,968,283,257,142,129,78,35,44
1400000US06085503122,"Census Tract 5031.22, Santa Clara County, California",1153,461,94,118,88,84,47,15,15,692,276,143,107,81,42,29,14
1400000US06085503123,"Census Tract 5031.23, Santa Clara County, California",1549,391,169,136,55,22,6,0,3,1158,475,260,151,140,66,38,28
1400000US06085503204,"Census Tract 5032.04, Santa Clara County, California",2132,1186,209,239,177,180,119,91,171,946,168,165,166,129,137,66,115
1400000US06085503207,"Census Tract 5032.07, Santa Clara County, California",989,762,74,146,151,161,96,57,77,227,11,27,47,42,52,29,19
1400000US06085503208,"Census Tract 5032.08, Santa Clara County, California",844,603,60,94,84,89,89,64,123,241,11,20,35,59,38,18,60
1400000US06085503210,"Census Tract 5032.10, Santa Clara County, California",926,585,35,67,78,115,119,65,106,341,17,39,51,67,48,42,77
1400000US06085503211,"Census Tract 5032.11, Santa Clara County, California",1100,842,76,176,141,153,111,67,118,258,15,35,43,43,52,24,46
1400000US06085503212,"Census Tract 5032.12, Santa Clara County, California",926,722,44,130,147,136,111,59,95,204,5,20,36,38,36,23,46
1400000US06085503213,"Census Tract 5032.13, Santa Clara County, California",1189,781,90,150,159,155,117,40,70,408,30,86,111,71,47,23,40
1400000US06085503214,"Census Tract 5032.14, Santa Clara County, California",2092,1059,122,181,206,247,137,81,85,1033,248,236,173,173,96,46,61
1400000US06085503217,"Census Tract 5032.17, Santa Clara County, California",1014,595,66,88,97,104,102,57,81,419,21,54,52,77,84,50,81
1400000US06085503218,"Census Tract 5032.18, Santa Clara County, California",1102,373,18,49,39,63,59,46,99,729,134,145,135,137,92,24,62
1400000US06085503304,"Census Tract 5033.04, Santa Clara County, California",1758,931,118,215,170,158,118,63,89,827,89,108,173,169,121,74,93
1400000US06085503305,"Census Tract 5033.05, Santa Clara County, California",1405,785,51,119,129,140,106,82,158,620,116,137,82,69,72,50,94
1400000US06085503306,"Census Tract 5033.06, Santa Clara County, California",864,611,47,85,87,100,73,87,132,253,13,10,33,53,41,36,67
1400000US06085503312,"Census Tract 5033.12, Santa Clara County, California",1007,811,138,242,132,127,75,42,55,196,35,24,37,42,28,11,19
1400000US06085503313,"Census Tract 5033.13, Santa Clara County, California",1256,1127,76,306,225,250,125,83,62,129,4,16,24,25,25,17,18
1400000US06085503315,"Census Tract 5033.15, Santa Clara County, California",1919,1179,103,202,213,283,152,94,132,740,88,131,153,156,100,54,58
1400000US06085503321,"Census Tract 5033.21, Santa Clara County, California",1065,920,32,135,168,228,148,91,118,145,20,20,22,21,21,11,30
1400000US06085503322,"Census Tract 5033.22, Santa Clara County, California",994,798,64,162,137,165,109,63,98,196,15,21,22,45,36,21,36
1400000US06085503323,"Census Tract 5033.23, Santa Clara County, California",1165,944,84,181,174,229,127,61,88,221,9,25,40,61,31,20,35
1400000US06085503324,"Census Tract 5033.24, Santa Clara County, California",882,723,42,143,153,182,96,55,52,159,6,13,23,36,28,27,26
1400000US06085503325,"Census Tract 5033.25, Santa Clara County, California",1110,873,62,143,190,241,109,60,68,237,15,24,44,50,47,24,33
1400000US06085503326,"Census Tract 5033.26, Santa Clara County, California",1682,1483,57,207,300,484,222,122,91,199,28,28,41,38,36,13,15
1400000US06085503327,"Census Tract 5033.27, Santa Clara County, California",1360,986,95,225,171,208,142,56,89,374,164,41,44,53,34,19,19
1400000US06085503329,"Census Tract 5033.29, Santa Clara County, California",955,854,53,146,187,308,97,43,20,101,10,16,15,26,13,13,8
1400000US06085503330,"Census Tract 5033.30, Santa Clara County, California",2024,1818,86,266,371,637,266,122,70,206,35,32,44,44,28,13,10
1400000US06085503331,"Census Tract 5033.31, Santa Clara County, California",1339,1061,310,352,141,148,66,26,18,278,151,86,10,17,6,3,5
1400000US06085503332,"Census Tract 5033.32, Santa Clara County, California",2469,2232,663,1039,159,219,101,35,16,237,105,100,10,12,7,2,1
1400000US06085503333,"Census Tract 5033.33, Santa Clara County, California",1264,1048,119,223,194,260,113,79,60,216,18,46,38,50,28,12,24
1400000US06085503334,"Census Tract 5033.34, Santa Clara County, California",2544,2376,170,554,473,696,278,129,76,168,20,43,26,33,21,13,12
1400000US06085503336,"Census Tract 5033.36, Santa Clara County, California",838,598,45,114,117,116,95,54,57,240,17,32,46,39,41,24,41
1400000US06085503337,"Census Tract 5033.37, Santa Clara County, California",925,715,67,138,121,168,90,62,69,210,10,32,43,42,38,10,35
1400000US06085503401,"Census Tract 5034.01, Santa Clara County, California",915,601,37,77,80,87,86,69,165,314,14,37,36,39,44,31,113
1400000US06085503402,"Census Tract 5034.02, Santa Clara County, California",1127,391,27,42,70,55,58,40,99,736,57,114,111,121,133,71,129
1400000US06085503504,"Census Tract 5035.04, Santa Clara County, California",1157,767,34,92,99,129,97,85,231,390,13,34,34,60,50,52,147
1400000US06085503506,"Census Tract 5035.06, Santa Clara County, California",1227,696,39,104,93,93,100,82,185,531,37,29,63,89,85,59,169
1400000US06085503507,"Census Tract 5035.07, Santa Clara County, California",372,250,18,30,22,40,28,25,87,122,7,9,13,17,17,12,47
1400000US06085503508,"Census Tract 5035.08, Santa Clara County, California",1225,826,58,124,115,135,103,91,200,399,26,36,39,80,62,47,109
1400000US06085503509,"Census Tract 5035.09, Santa Clara County, California",847,615,45,114,77,111,85,59,124,232,9,22,35,34,45,37,50
1400000US06085503510,"Census Tract 5035.10, Santa Clara County, California",1303,756,83,148,95,116,110,61,143,547,32,52,85,114,83,43,138
1400000US06085503511,"Census Tract 5035.11, Santa Clara County, California",805,608,38,84,111,125,81,64,105,197,7,27,35,41,23,23,41
1400000US06085503601,"Census Tract 5036.01, Santa Clara County, California",849,310,49,93,59,45,26,18,20,539,73,129,116,94,52,30,45
1400000US06085503602,"Census Tract 5036.02, Santa Clara County, California",1246,595,75,115,119,108,76,37,65,651,104,115,123,102,75,41,91
1400000US06085503703,"Census Tract 5037.03, Santa Clara County, California",887,381,31,48,59,49,61,42,91,506,26,40,80,103,107,60,90
1400000US06085503707,"Census Tract 5037.07, Santa Clara County, California",1337,755,78,137,144,151,92,62,91,582,50,94,114,104,98,55,67
1400000US06085503708,"Census Tract 5037.08, Santa Clara County, California",724,403,33,83,78,82,54,32,41,321,46,65,56,66,40,24,24
1400000US06085503709,"Census Tract 5037.09, Santa Clara County, California",1360,303,24,69,48,51,47,27,37,1057,90,238,222,217,144,70,76
