GEO_ID,NAME,P1_001N
Geography,Geographic Area Name, !!Total
1400000US06085500100,Census Tract 5001; Santa Clara County; California,7969
1400000US06085500200,Census Tract 5002; Santa Clara County; California,5281
1400000US06085500300,Census Tract 5003; Santa Clara County; California,4765
1400000US06085500400,Census Tract 5004; Santa Clara County; California,2476
1400000US06085500500,Census Tract 5005; Santa Clara County; California,5506
1400000US06085500600,Census Tract 5006; Santa Clara County; California,5548
1400000US06085500800,Census Tract 5008; Santa Clara County; California,4669
1400000US06085500901,Census Tract 5009.01; Santa Clara County; California,4011
1400000US06085500902,Census Tract 5009.02; Santa Clara County; California,4957
1400000US06085501000,Census Tract 5010; Santa Clara County; California,5468
1400000US06085501101,Census Tract 5011.01; Santa Clara County; California,4305
1400000US06085501102,Census Tract 5011.02; Santa Clara County; California,4437
1400000US06085501200,Census Tract 5012; Santa Clara County; California,4129
1400000US06085501300,Census Tract 5013; Santa Clara County; California,3786
1400000US06085501401,Census Tract 5014.01; Santa Clara County; California,3496
1400000US06085501402,Census Tract 5014.02; Santa Clara County; California,2962
1400000US06085501501,Census Tract 5015.01; Santa Clara County; California,4392
1400000US06085501502,Census Tract 5015.02; Santa Clara County; California,4734
1400000US06085501601,Census Tract 5016.01; Santa Clara County; California,3728
1400000US06085501602,Census Tract 5016.02; Santa Clara County; California,3441
1400000US06085501700,Census Tract 5017; Santa Clara County; California,5155
1400000US06085501800,Census Tract 5018; Santa Clara County; California,4852
1400000US06085501901,Census Tract 5019.01; Santa Clara County; California,2918
1400000US06085501902,Census Tract 5019.02; Santa Clara County; California,4176
1400000US06085502001,Census Tract 5020.01; Santa Clara County; California,5010
1400000US06085502002,Census Tract 5020.02; Santa Clara County; California,5166
1400000US06085502101,Census Tract 5021.01; Santa Clara County; California,5101
1400000US06085502103,Census Tract 5021.03; Santa Clara County; California,4449
1400000US06085502104,Census Tract 5021.04; Santa Clara County; California,2645
1400000US06085502202,Census Tract 5022.02; Santa Clara County; California,3018
1400000US06085502203,Census Tract 5022.03; Santa Clara County; California,4118
1400000US06085502204,Census Tract 5022.04; Santa Clara County; California,3220
1400000US06085502301,Census Tract 5023.01; Santa Clara County; California,3338
1400000US06085502302,Census Tract 5023.02; Santa Clara County; California,2995
1400000US06085502400,Census Tract 5024; Santa Clara County; California,7235
1400000US06085502500,Census Tract 5025; Santa Clara County; California,6540
1400000US06085502601,Census Tract 5026.01; Santa Clara County; California,2831
1400000US06085502603,Census Tract 5026.03; Santa Clara County; California,2655
1400000US06085502604,Census Tract 5026.04; Santa Clara County; California,4494
1400000US06085502701,Census Tract 5027.01; Santa Clara County; California,5048
1400000US06085502703,Census Tract 5027.03; Santa Clara County; California,4744
1400000US06085502704,Census Tract 5027.04; Santa Clara County; California,4006
1400000US06085502800,Census Tract 5028; Santa Clara County; California,4422
1400000US06085502901,Census Tract 5029.01; Santa Clara County; California,6250
1400000US06085502902,Census Tract 5029.02; Santa Clara County; California,7864
1400000US06085502903,Census Tract 5029.03; Santa Clara County; California,5333
1400000US06085502906,Census Tract 5029.06; Santa Clara County; California,4848
1400000US06085502907,Census Tract 5029.07; Santa Clara County; California,3857
1400000US06085502908,Census Tract 5029.08; Santa Clara County; California,6951
1400000US06085502909,Census Tract 5029.09; Santa Clara County; California,5324
1400000US06085502910,Census Tract 5029.10; Santa Clara County; California,3908
1400000US06085503001,Census Tract 5030.01; Santa Clara County; California,4430
1400000US06085503002,Census Tract 5030.02; Santa Clara County; California,3611
1400000US06085503003,Census Tract 5030.03; Santa Clara County; California,5218
1400000US06085503105,Census Tract 5031.05; Santa Clara County; California,2417
1400000US06085503110,Census Tract 5031.10; Santa Clara County; California,4407
1400000US06085503111,Census Tract 5031.11; Santa Clara County; California,4739
1400000US06085503112,Census Tract 5031.12; Santa Clara County; California,4379
1400000US06085503113,Census Tract 5031.13; Santa Clara County; California,4604
1400000US06085503116,Census Tract 5031.16; Santa Clara County; California,5785
1400000US06085503117,Census Tract 5031.17; Santa Clara County; California,2911
1400000US06085503118,Census Tract 5031.18; Santa Clara County; California,5223
1400000US06085503121,Census Tract 5031.21; Santa Clara County; California,4767
1400000US06085503122,Census Tract 5031.22; Santa Clara County; California,4108
1400000US06085503123,Census Tract 5031.23; Santa Clara County; California,3889
1400000US06085503124,Census Tract 5031.24; Santa Clara County; California,4723
1400000US06085503125,Census Tract 5031.25; Santa Clara County; California,3680
1400000US06085503126,Census Tract 5031.26; Santa Clara County; California,3943
1400000US06085503127,Census Tract 5031.27; Santa Clara County; California,5065
1400000US06085503207,Census Tract 5032.07; Santa Clara County; California,4115
1400000US06085503208,Census Tract 5032.08; Santa Clara County; California,3737
1400000US06085503210,Census Tract 5032.10; Santa Clara County; California,4114
1400000US06085503211,Census Tract 5032.11; Santa Clara County; California,4731
1400000US06085503212,Census Tract 5032.12; Santa Clara County; California,4117
1400000US06085503213,Census Tract 5032.13; Santa Clara County; California,4769
1400000US06085503217,Census Tract 5032.17; Santa Clara County; California,4406
1400000US06085503218,Census Tract 5032.18; Santa Clara County; California,4359
1400000US06085503219,Census Tract 5032.19; Santa Clara County; California,2890
1400000US06085503220,Census Tract 5032.20; Santa Clara County; California,5635
1400000US06085503221,Census Tract 5032.21; Santa Clara County; California,2980
1400000US06085503222,Census Tract 5032.22; Santa Clara County; California,4691
1400000US06085503304,Census Tract 5033.04; Santa Clara County; California,6537
1400000US06085503305,Census Tract 5033.05; Santa Clara County; California,6333
1400000US06085503306,Census Tract 5033.06; Santa Clara County; California,4069
1400000US06085503312,Census Tract 5033.12; Santa Clara County; California,3562
1400000US06085503313,Census Tract 5033.13; Santa Clara County; California,4600
1400000US06085503315,Census Tract 5033.15; Santa Clara County; California,7722
1400000US06085503321,Census Tract 5033.21; Santa Clara County; California,4571
1400000US06085503322,Census Tract 5033.22; Santa Clara County; California,4310
1400000US06085503323,Census Tract 5033.23; Santa Clara County; California,4712
1400000US06085503324,Census Tract 5033.24; Santa Clara County; California,3577
1400000US06085503325,Census Tract 5033.25; Santa Clara County; California,4449
1400000US06085503326,Census Tract 5033.26; Santa Clara County; California,6625
1400000US06085503327,Census Tract 5033.27; Santa Clara County; California,4856
1400000US06085503329,Census Tract 5033.29; Santa Clara County; California,3953
1400000US06085503330,Census Tract 5033.30; Santa Clara County; California,7319
