GEO_ID,NAME,H12_001N,H12_002N,H12_003N,H12_004N,H12_005N,H12_006N,H12_007N,H12_008N,H12_009N,H12_010N,H12_011N,H12_012N,H12_013N,H12_014N,H12_015N,H12_016N,H12_017N
Geography,Geographic Area Name, !!Total:, !!Total:!!Owner occupied:, !!Total:!!Owner occupied:!!1-person household, !!Total:!!Owner occupied:!!2-person household, !!Total:!!Owner occupied:!!3-person household, !!Total:!!Owner occupied:!!4-person household, !!Total:!!Owner occupied:!!5-person household, !!Total:!!Owner occupied:!!6-person household, !!Total:!!Owner occupied:!!7-or-more-person household, !!Total:!!Renter occupied:, !!Total:!!Renter occupied:!!1-person household, !!Total:!!Renter occupied:!!2-person household, !!Total:!!Renter occupied:!!3-person household, !!Total:!!Renter occupied:!!4-person household, !!Total:!!Renter occupied:!!5-person household, !!Total:!!Renter occupied:!!6-person household, !!Total:!!Renter occupied:!!7-or-more-person household
1400000US06085500100,Census Tract 5001; Santa Clara County; California,2885,961,234,321,158,131,61,25,31,1924,469,643,314,246,140,61,51
1400000US06085500200,Census Tract 5002; Santa Clara County; California,2059,561,166,187,82,78,22,10,16,1498,511,546,200,126,61,35,19
1400000US06085500300,Census Tract 5003; Santa Clara County; California,1606,563,170,199,100,47,26,10,11,1043,341,316,161,123,53,31,18
1400000US06085500400,Census Tract 5004; Santa Clara County; California,990,392,62,154,72,58,24,15,7,598,211,179,80,69,33,16,10
1400000US06085500500,Census Tract 5005; Santa Clara County; California,2113,1412,266,538,276,223,61,28,20,701,243,222,105,67,47,9,8
1400000US06085500600,Census Tract 5006; Santa Clara County; California,2525,766,183,282,149,108,11,17,16,1759,648,642,240,102,78,28,21
1400000US06085500800,Census Tract 5008; Santa Clara County; California,2384,513,218,167,64,31,18,9,6,1871,895,641,142,104,53,16,20
1400000US06085500901,Census Tract 5009.01; Santa Clara County; California,1988,382,158,130,47,26,14,1,6,1606,776,458,180,93,66,18,15
1400000US06085500902,Census Tract 5009.02; Santa Clara County; California,627,22,4,3,7,2,2,2,2,605,225,174,77,83,27,11,8
1400000US06085501000,Census Tract 5010; Santa Clara County; California,2422,337,102,102,60,28,22,12,11,2085,952,538,254,190,73,46,32
1400000US06085501101,Census Tract 5011.01; Santa Clara County; California,1958,469,160,148,59,57,24,10,11,1489,598,517,171,99,49,32,23
1400000US06085501102,Census Tract 5011.02; Santa Clara County; California,1359,784,168,246,156,105,48,36,25,575,98,117,102,126,63,38,31
1400000US06085501200,Census Tract 5012; Santa Clara County; California,1337,522,107,179,88,78,35,17,18,815,218,201,159,115,53,37,32
1400000US06085501300,Census Tract 5013; Santa Clara County; California,1156,510,71,219,116,69,18,5,12,646,233,162,110,47,60,17,17
1400000US06085501401,Census Tract 5014.01; Santa Clara County; California,1018,270,56,97,35,42,22,6,12,748,131,165,157,147,80,26,42
1400000US06085501402,Census Tract 5014.02; Santa Clara County; California,869,273,51,94,44,43,18,8,15,596,115,129,119,105,61,38,29
