GEO_ID,NAME,H1_001N
Geography,Geographic Area Name, !!Total
1400000US06085500100,Census Tract 5001; Santa Clara County; California,3043
1400000US06085500200,Census Tract 5002; Santa Clara County; California,2240
1400000US06085500300,Census Tract 5003; Santa Clara County; California,1699
1400000US06085500400,Census Tract 5004; Santa Clara County; California,1059
1400000US06085500500,Census Tract 5005; Santa Clara County; California,2176
1400000US06085500600,Census Tract 5006; Santa Clara County; California,2686
1400000US06085500800,Census Tract 5008; Santa Clara County; California,2974
1400000US06085500901,Census Tract 5009.01; Santa Clara County; California,2249
1400000US06085500902,Census Tract 5009.02; Santa Clara County; California,721
1400000US06085501000,Census Tract 5010; Santa Clara County; California,2697
1400000US06085501101,Census Tract 5011.01; Santa Clara County; California,2054
1400000US06085501102,Census Tract 5011.02; Santa Clara County; California,1402
1400000US06085501200,Census Tract 5012; Santa Clara County; California,1425
1400000US06085501300,Census Tract 5013; Santa Clara County; California,1263
1400000US06085501401,Census Tract 5014.01; Santa Clara County; California,1047
1400000US06085501402,Census Tract 5014.02; Santa Clara County; California,903
1400000US06085501501,Census Tract 5015.01; Santa Clara County; California,1287
1400000US06085501502,Census Tract 5015.02; Santa Clara County; California,1260
1400000US06085501601,Census Tract 5016.01; Santa Clara County; California,1441
1400000US06085501602,Census Tract 5016.02; Santa Clara County; California,1584
1400000US06085501700,Census Tract 5017; Santa Clara County; California,1673
1400000US06085501800,Census Tract 5018; Santa Clara County; California,1732
1400000US06085501901,Census Tract 5019.01; Santa Clara County; California,1682
1400000US06085501902,Census Tract 5019.02; Santa Clara County; California,2022
1400000US06085502001,Census Tract 5020.01; Santa Clara County; California,2126
1400000US06085502002,Census Tract 5020.02; Santa Clara County; California,1878
1400000US06085502101,Census Tract 5021.01; Santa Clara County; California,2064
1400000US06085502103,Census Tract 5021.03; Santa Clara County; California,1705
1400000US06085502104,Census Tract 5021.04; Santa Clara County; California,1003
1400000US06085502202,Census Tract 5022.02; Santa Clara County; California,1466
1400000US06085502203,Census Tract 5022.03; Santa Clara County; California,1968
