"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"H016001","Total"
"H016002","Total!!Owner occupied"
"H016003","Total!!Owner occupied!!1-person household"
"H016004","Total!!Owner occupied!!2-person household"
"H016005","Total!!Owner occupied!!3-person household"
"H016006","Total!!Owner occupied!!4-person household"
"H016007","Total!!Owner occupied!!5-person household"
"H016008","Total!!Owner occupied!!6-person household"
"H016009","Total!!Owner occupied!!7-or-more-person household"
"H016010","Total!!Renter occupied"
"H016011","Total!!Renter occupied!!1-person household"
"H016012","Total!!Renter occupied!!2-person household"
"H016013","Total!!Renter occupied!!3-person household"
"H016014","Total!!Renter occupied!!4-person household"
"H016015","Total!!Renter occupied!!5-person household"
"H016016","Total!!Renter occupied!!6-person household"
"H016017","Total!!Renter occupied!!7-or-more-person household"
