"GEO_ID","NAME","H016001","H016002","H016003","H016004","H016005","H016006","H016007","H016008","H016009","H016010","H016011","H016012","H016013","H016014","H016015","H016016","H016017",
"Geography","Geographic Area Name","Total","Total!!Owner occupied","Total!!Owner occupied!!1-person household","Total!!Owner occupied!!2-person household","Total!!Owner occupied!!3-person household","Total!!Owner occupied!!4-person household","Total!!Owner occupied!!5-person household","Total!!Owner occupied!!6-person household","Total!!Owner occupied!!7-or-more-person household","Total!!Renter occupied","Total!!Renter occupied!!1-person household","Total!!Renter occupied!!2-person household","Total!!Renter occupied!!3-person household","Total!!Renter occupied!!4-person household","Total!!Renter occupied!!5-person household","Total!!Renter occupied!!6-person household","Total!!Renter occupied!!7-or-more-person household",
"1500000US060855001001","Block Group 1, Census Tract 5001, Santa Clara County, California","297","73","20","16","12","9","7","3","6","224","49","61","40","35","19","9","11",
"1500000US060855001002","Block Group 2, Census Tract 5001, Santa Clara County, California","423","205","46","59","40","34","13","8","5","218","35","36","52","42","26","14","13",
"1500000US060855001003","Block Group 3, Census Tract 5001, Santa Clara County, California","538","219","55","55","36","25","26","11","11","319","22","68","62","54","42","25","46",
"1500000US060855001004","Block Group 4, Census Tract 5001, Santa Clara County, California","820","386","122","122","62","39","10","14","17","434","132","143","60","43","23","17","16",
"1500000US060855002001","Block Group 1, Census Tract 5002, Santa Clara County, California","491","162","49","49","31","20","6","4","3","329","169","99","20","18","12","8","3",
"1500000US060855002002","Block Group 2, Census Tract 5002, Santa Clara County, California","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US060855002003","Block Group 3, Census Tract 5002, Santa Clara County, California","600","156","52","46","24","20","9","1","4","444","180","131","61","40","14","5","13",
"1500000US060855002004","Block Group 4, Census Tract 5002, Santa Clara County, California","907","231","79","86","30","20","9","5","2","676","293","248","73","38","16","4","4",
"1500000US060855003001","Block Group 1, Census Tract 5003, Santa Clara County, California","152","27","5","10","1","7","2","1","1","125","30","30","24","17","8","11","5",
"1500000US060855003002","Block Group 2, Census Tract 5003, Santa Clara County, California","1081","468","140","162","91","48","16","5","6","613","225","215","78","59","15","10","11",
"1500000US060855004001","Block Group 1, Census Tract 5004, Santa Clara County, California","528","167","52","68","22","16","9","0","0","361","134","104","52","39","22","6","4",
"1500000US060855004002","Block Group 2, Census Tract 5004, Santa Clara County, California","422","215","39","85","40","31","12","4","4","207","68","59","30","25","17","5","3",
"1500000US060855005001","Block Group 1, Census Tract 5005, Santa Clara County, California","432","350","52","146","62","58","19","5","8","82","24","27","7","10","6","5","3",
"1500000US060855005002","Block Group 2, Census Tract 5005, Santa Clara County, California","581","401","85","176","66","53","16","3","2","180","50","54","27","26","14","6","3",
"1500000US060855005003","Block Group 3, Census Tract 5005, Santa Clara County, California","286","161","39","60","27","22","9","3","1","125","27","29","32","20","11","5","1",
"1500000US060855005004","Block Group 4, Census Tract 5005, Santa Clara County, California","367","268","47","114","34","51","18","3","1","99","42","26","14","9","7","0","1",
