"GEO_ID","NAME","H001001",
"Geography","Geographic Area Name","Total",
"1400000US06085500100","Census Tract 5001, Santa Clara County, California","2198",
"1400000US06085500200","Census Tract 5002, Santa Clara County, California","2134",
"1400000US06085500300","Census Tract 5003, Santa Clara County, California","1313",
"1400000US06085500400","Census Tract 5004, Santa Clara County, California","1010",
"1400000US06085500500","Census Tract 5005, Santa Clara County, California","2079",
"1400000US06085500600","Census Tract 5006, Santa Clara County, California","2226",
"1400000US06085500800","Census Tract 5008, Santa Clara County, California","1881",
"1400000US06085500901","Census Tract 5009.01, Santa Clara County, California","2226",
"1400000US06085500902","Census Tract 5009.02, Santa Clara County, California","679",
"1400000US06085501000","Census Tract 5010, Santa Clara County, California","2190",
"1400000US06085501101","Census Tract 5011.01, Santa Clara County, California","1824",
"1400000US06085501102","Census Tract 5011.02, Santa Clara County, California","1401",
"1400000US06085501200","Census Tract 5012, Santa Clara County, California","1438",
"1400000US06085501300","Census Tract 5013, Santa Clara County, California","1427",
"1400000US06085501401","Census Tract 5014.01, Santa Clara County, California","1019",
"1400000US06085501402","Census Tract 5014.02, Santa Clara County, California","879",
"1400000US06085501501","Census Tract 5015.01, Santa Clara County, California","1180",
"1400000US06085501502","Census Tract 5015.02, Santa Clara County, California","1123",
"1400000US06085501600","Census Tract 5016, Santa Clara County, California","2649",
"1400000US06085501700","Census Tract 5017, Santa Clara County, California","1302",
"1400000US06085501800","Census Tract 5018, Santa Clara County, California","1771",
"1400000US06085501900","Census Tract 5019, Santa Clara County, California","2374",
"1400000US06085502001","Census Tract 5020.01, Santa Clara County, California","2091",
"1400000US06085502002","Census Tract 5020.02, Santa Clara County, California","1653",
"1400000US06085502101","Census Tract 5021.01, Santa Clara County, California","1988",
"1400000US06085502102","Census Tract 5021.02, Santa Clara County, California","2704",
"1400000US06085502201","Census Tract 5022.01, Santa Clara County, California","2832",
"1400000US06085502202","Census Tract 5022.02, Santa Clara County, California","1461",
"1400000US06085502301","Census Tract 5023.01, Santa Clara County, California","1389",
"1400000US06085502302","Census Tract 5023.02, Santa Clara County, California","1303",
"1400000US06085502400","Census Tract 5024, Santa Clara County, California","2921",
"1400000US06085502500","Census Tract 5025, Santa Clara County, California","2525",
"1400000US06085502601","Census Tract 5026.01, Santa Clara County, California","1259",
"1400000US06085502603","Census Tract 5026.03, Santa Clara County, California","1058",
"1400000US06085502604","Census Tract 5026.04, Santa Clara County, California","2339",
"1400000US06085502701","Census Tract 5027.01, Santa Clara County, California","2020",
"1400000US06085502702","Census Tract 5027.02, Santa Clara County, California","3257",
"1400000US06085502800","Census Tract 5028, Santa Clara County, California","1413",
"1400000US06085502901","Census Tract 5029.01, Santa Clara County, California","2286",
"1400000US06085502902","Census Tract 5029.02, Santa Clara County, California","2716",
"1400000US06085502903","Census Tract 5029.03, Santa Clara County, California","1962",
"1400000US06085502906","Census Tract 5029.06, Santa Clara County, California","1655",
"1400000US06085502907","Census Tract 5029.07, Santa Clara County, California","1339",
"1400000US06085502908","Census Tract 5029.08, Santa Clara County, California","2413",
"1400000US06085502909","Census Tract 5029.09, Santa Clara County, California","2054",
"1400000US06085502910","Census Tract 5029.10, Santa Clara County, California","1506",
"1400000US06085503001","Census Tract 5030.01, Santa Clara County, California","1635",
"1400000US06085503002","Census Tract 5030.02, Santa Clara County, California","1318",
"1400000US06085503003","Census Tract 5030.03, Santa Clara County, California","1798",
"1400000US06085503105","Census Tract 5031.05, Santa Clara County, California","771",
"1400000US06085503108","Census Tract 5031.08, Santa Clara County, California","2844",
"1400000US06085503110","Census Tract 5031.10, Santa Clara County, California","1104",
"1400000US06085503111","Census Tract 5031.11, Santa Clara County, California","1096",
"1400000US06085503112","Census Tract 5031.12, Santa Clara County, California","1520",
"1400000US06085503113","Census Tract 5031.13, Santa Clara County, California","1337",
"1400000US06085503115","Census Tract 5031.15, Santa Clara County, California","2595",
"1400000US06085503116","Census Tract 5031.16, Santa Clara County, California","2222",
"1400000US06085503117","Census Tract 5031.17, Santa Clara County, California","736",
"1400000US06085503118","Census Tract 5031.18, Santa Clara County, California","1673",
"1400000US06085503121","Census Tract 5031.21, Santa Clara County, California","1544",
