"GEO_ID","NAME","P012001","P012002","P012003","P012004","P012005","P012006","P012007","P012008","P012009","P012010","P012011","P012012","P012013","P012014","P012015","P012016","P012017","P012018","P012019","P012020","P012021","P012022","P012023","P012024","P012025","P012026","P012027","P012028","P012029","P012030","P012031","P012032","P012033","P012034","P012035","P012036","P012037","P012038","P012039","P012040","P012041","P012042","P012043","P012044","P012045","P012046","P012047","P012048","P012049",
"Geography","Geographic Area Name","Total","Total!!Male","Total!!Male!!Under 5 years","Total!!Male!!5 to 9 years","Total!!Male!!10 to 14 years","Total!!Male!!15 to 17 years","Total!!Male!!18 and 19 years","Total!!Male!!20 years","Total!!Male!!21 years","Total!!Male!!22 to 24 years","Total!!Male!!25 to 29 years","Total!!Male!!30 to 34 years","Total!!Male!!35 to 39 years","Total!!Male!!40 to 44 years","Total!!Male!!45 to 49 years","Total!!Male!!50 to 54 years","Total!!Male!!55 to 59 years","Total!!Male!!60 and 61 years","Total!!Male!!62 to 64 years","Total!!Male!!65 and 66 years","Total!!Male!!67 to 69 years","Total!!Male!!70 to 74 years","Total!!Male!!75 to 79 years","Total!!Male!!80 to 84 years","Total!!Male!!85 years and over","Total!!Female","Total!!Female!!Under 5 years","Total!!Female!!5 to 9 years","Total!!Female!!10 to 14 years","Total!!Female!!15 to 17 years","Total!!Female!!18 and 19 years","Total!!Female!!20 years","Total!!Female!!21 years","Total!!Female!!22 to 24 years","Total!!Female!!25 to 29 years","Total!!Female!!30 to 34 years","Total!!Female!!35 to 39 years","Total!!Female!!40 to 44 years","Total!!Female!!45 to 49 years","Total!!Female!!50 to 54 years","Total!!Female!!55 to 59 years","Total!!Female!!60 and 61 years","Total!!Female!!62 to 64 years","Total!!Female!!65 and 66 years","Total!!Female!!67 to 69 years","Total!!Female!!70 to 74 years","Total!!Female!!75 to 79 years","Total!!Female!!80 to 84 years","Total!!Female!!85 years and over",
"0500000US06085","Santa Clara County, California","1781642","893851","63660","62320","58180","35810","23754","11907","11547","36616","68924","69295","71298","69926","70721","63598","50394","17255","22642","12313","15932","20889","15797","11270","9803","887791","60804","59608","55390","33773","21207","10191","10208","32648","64620","66727","69452","67693","67397","61878","52019","18560","24676","13896","18436","25055","19869","16012","17672",
"1500000US060855001001","Block Group 1, Census Tract 5001, Santa Clara County, California","953","489","39","31","32","21","16","4","3","30","42","49","40","42","42","30","25","7","7","3","3","8","3","5","7","464","42","28","37","22","8","4","7","23","44","36","28","40","35","38","23","5","11","3","4","9","6","5","6",
"1500000US060855001002","Block Group 2, Census Tract 5001, Santa Clara County, California","1331","671","64","46","38","19","16","10","6","30","69","72","64","59","39","49","30","8","17","2","4","10","7","7","5","660","65","37","31","34","20","6","8","37","71","61","52","31","34","53","31","8","20","7","11","12","12","10","9",
"1500000US060855001003","Block Group 3, Census Tract 5001, Santa Clara County, California","1965","1026","87","71","67","55","28","17","19","58","101","90","72","82","67","53","52","11","12","9","10","25","11","16","13","939","87","71","67","37","33","12","12","47","74","77","77","56","48","47","54","15","26","6","13","16","26","19","19",
"1500000US060855001004","Block Group 4, Census Tract 5001, Santa Clara County, California","2090","1106","94","44","47","19","21","11","17","59","136","168","130","101","51","51","45","21","23","9","15","16","10","7","11","984","88","48","41","23","17","16","20","58","132","129","102","65","48","37","47","14","17","10","16","11","13","20","12",
"1500000US060855002001","Block Group 1, Census Tract 5002, Santa Clara County, California","1169","597","49","35","22","15","2","4","3","25","62","70","59","57","59","33","32","12","19","10","7","4","8","3","7","572","41","22","22","17","8","4","7","35","61","54","71","42","36","30","32","12","22","10","10","8","6","10","12",
"1500000US060855002002","Block Group 2, Census Tract 5002, Santa Clara County, California","1430","1424","0","0","0","0","63","68","58","151","258","215","187","145","111","86","46","8","13","4","2","6","1","1","1","6","0","0","0","0","2","0","0","0","0","0","1","2","0","1","0","0","0","0","0","0","0","0","0",
"1500000US060855002003","Block Group 3, Census Tract 5002, Santa Clara County, California","1365","734","42","39","10","23","18","10","14","43","100","85","68","71","58","45","42","12","13","8","6","11","6","5","5","631","38","25","28","19","13","11","9","37","85","55","56","47","40","53","32","11","9","13","10","8","13","14","5",
"1500000US060855002004","Block Group 4, Census Tract 5002, Santa Clara County, California","1858","1018","47","11","20","12","10","10","14","110","207","151","104","79","57","48","43","16","19","13","8","19","11","4","5","840","45","25","20","11","14","9","11","78","194","97","62","57","55","42","35","13","18","9","14","9","5","10","7",
