"GEO_ID","NAME","P001001",
"Geography","Geographic Area Name","Total",
"1400000US06085500100","Census Tract 5001, Santa Clara County, California","6339",
"1400000US06085500200","Census Tract 5002, Santa Clara County, California","5822",
"1400000US06085500300","Census Tract 5003, Santa Clara County, California","3140",
"1400000US06085500400","Census Tract 5004, Santa Clara County, California","2369",
"1400000US06085500500","Census Tract 5005, Santa Clara County, California","5275",
"1400000US06085500600","Census Tract 5006, Santa Clara County, California","4586",
"1400000US06085500800","Census Tract 5008, Santa Clara County, California","2600",
"1400000US06085500901","Census Tract 5009.01, Santa Clara County, California","3723",
"1400000US06085500902","Census Tract 5009.02, Santa Clara County, California","4523",
"1400000US06085501000","Census Tract 5010, Santa Clara County, California","4769",
"1400000US06085501101","Census Tract 5011.01, Santa Clara County, California","4074",
"1400000US06085501102","Census Tract 5011.02, Santa Clara County, California","4477",
"1400000US06085501200","Census Tract 5012, Santa Clara County, California","4186",
"1400000US06085501300","Census Tract 5013, Santa Clara County, California","4153",
"1400000US06085501401","Census Tract 5014.01, Santa Clara County, California","3295",
"1400000US06085501402","Census Tract 5014.02, Santa Clara County, California","2947",
"1400000US06085501501","Census Tract 5015.01, Santa Clara County, California","4278",
"1400000US06085501502","Census Tract 5015.02, Santa Clara County, California","4549",
"1400000US06085501600","Census Tract 5016, Santa Clara County, California","6854",
"1400000US06085501700","Census Tract 5017, Santa Clara County, California","4916",
"1400000US06085501800","Census Tract 5018, Santa Clara County, California","5085",
"1400000US06085501900","Census Tract 5019, Santa Clara County, California","4641",
"1400000US06085502001","Census Tract 5020.01, Santa Clara County, California","5022",
"1400000US06085502002","Census Tract 5020.02, Santa Clara County, California","4887",
"1400000US06085502101","Census Tract 5021.01, Santa Clara County, California","4798",
"1400000US06085502102","Census Tract 5021.02, Santa Clara County, California","7469",
"1400000US06085502201","Census Tract 5022.01, Santa Clara County, California","6260",
"1400000US06085502202","Census Tract 5022.02, Santa Clara County, California","2870",
"1400000US06085502301","Census Tract 5023.01, Santa Clara County, California","3245",
"1400000US06085502302","Census Tract 5023.02, Santa Clara County, California","2826",
"1400000US06085502400","Census Tract 5024, Santa Clara County, California","6813",
"1400000US06085502500","Census Tract 5025, Santa Clara County, California","6187",
"1400000US06085502601","Census Tract 5026.01, Santa Clara County, California","2626",
"1400000US06085502603","Census Tract 5026.03, Santa Clara County, California","2527",
"1400000US06085502604","Census Tract 5026.04, Santa Clara County, California","4320",
"1400000US06085502701","Census Tract 5027.01, Santa Clara County, California","4874",
